[155] train-err:0.006440 train-nlik:0.045113 valid-err:0.020300 valid-nlik:0.079820 test-err:0.018700 test-nlik:0.072345
[156] train-err:0.006420 train-nlik:0.044985 valid-err:0.020300 valid-nlik:0.079700 test-err:0.018600 test-nlik:0.072277
[157] train-err:0.006400 train-nlik:0.044911 valid-err:0.020500 valid-nlik:0.079619 test-err:0.018700 test-nlik:0.072273
[158] train-err:0.006300 train-nlik:0.044812 valid-err:0.020400 valid-nlik:0.079543 test-err:0.018800 test-nlik:0.072196
[159] train-err:0.006300 train-nlik:0.044717 valid-err:0.020400 valid-nlik:0.079473 test-err:0.019000 test-nlik:0.072109
[160] train-err:0.006200 train-nlik:0.044646 valid-err:0.020300 valid-nlik:0.079418 test-err:0.019000 test-nlik:0.072070
[161] train-err:0.006140 train-nlik:0.044568 valid-err:0.020500 valid-nlik:0.079337 test-err:0.018800 test-nlik:0.072027
[162] train-err:0.006160 train-nlik:0.044490 valid-err:0.020500 valid-nlik:0.079247 test-err:0.018400 test-nlik:0.071962
[163] train-err:0.006080 train-nlik:0.044443 valid-err:0.020600 valid-nlik:0.079212 test-err:0.018600 test-nlik:0.071940
[164] train-err:0.006020 train-nlik:0.044368 valid-err:0.020700 valid-nlik:0.079136 test-err:0.018500 test-nlik:0.071926
[165] train-err:0.005980 train-nlik:0.044333 valid-err:0.020600 valid-nlik:0.079081 test-err:0.018600 test-nlik:0.071925
[166] train-err:0.006020 train-nlik:0.044261 valid-err:0.020500 valid-nlik:0.079028 test-err:0.018400 test-nlik:0.071926
[167] train-err:0.005940 train-nlik:0.044192 valid-err:0.020400 valid-nlik:0.078997 test-err:0.018500 test-nlik:0.071906
[168] train-err:0.005960 train-nlik:0.044134 valid-err:0.020400 valid-nlik:0.078967 test-err:0.018500 test-nlik:0.071907
[169] train-err:0.005940 train-nlik:0.044101 valid-err:0.020400 valid-nlik:0.078956 test-err:0.018400 test-nlik:0.071897
[170] train-err:0.005900 train-nlik:0.044034 valid-err:0.020200 valid-nlik:0.078952 test-err:0.018500 test-nlik:0.071854
[171] train-err:0.005840 train-nlik:0.043997 valid-err:0.020200 valid-nlik:0.078962 test-err:0.018500 test-nlik:0.071809
[172] train-err:0.005780 train-nlik:0.043948 valid-err:0.020300 valid-nlik:0.078960 test-err:0.018500 test-nlik:0.071815
[173] train-err:0.005820 train-nlik:0.043867 valid-err:0.020300 valid-nlik:0.078925 test-err:0.018500 test-nlik:0.071762
[174] train-err:0.005760 train-nlik:0.043842 valid-err:0.020400 valid-nlik:0.078906 test-err:0.018500 test-nlik:0.071715
[175] train-err:0.005700 train-nlik:0.043819 valid-err:0.020400 valid-nlik:0.078886 test-err:0.018500 test-nlik:0.071676
[176] train-err:0.005720 train-nlik:0.043743 valid-err:0.020500 valid-nlik:0.078820 test-err:0.018400 test-nlik:0.071650
[177] train-err:0.005760 train-nlik:0.043715 valid-err:0.020600 valid-nlik:0.078795 test-err:0.018200 test-nlik:0.071695
[178] train-err:0.005760 train-nlik:0.043633 valid-err:0.020600 valid-nlik:0.078738 test-err:0.018500 test-nlik:0.071707
[179] train-err:0.005720 train-nlik:0.043578 valid-err:0.020700 valid-nlik:0.078717 test-err:0.018500 test-nlik:0.071704
[180] train-err:0.005780 train-nlik:0.043552 valid-err:0.020700 valid-nlik:0.078695 test-err:0.018400 test-nlik:0.071734
[181] train-err:0.005780 train-nlik:0.043507 valid-err:0.020700 valid-nlik:0.078718 test-err:0.018100 test-nlik:0.071742
[182] train-err:0.005740 train-nlik:0.043451 valid-err:0.020600 valid-nlik:0.078753 test-err:0.018200 test-nlik:0.071713
[183] train-err:0.005740 train-nlik:0.043447 valid-err:0.020700 valid-nlik:0.078737 test-err:0.018400 test-nlik:0.071757
[184] train-err:0.005840 train-nlik:0.043422 valid-err:0.020700 valid-nlik:0.078771 test-err:0.018600 test-nlik:0.071810
[185] train-err:0.005800 train-nlik:0.043404 valid-err:0.020600 valid-nlik:0.078754 test-err:0.018500 test-nlik:0.071835
[186] train-err:0.005820 train-nlik:0.043377 valid-err:0.020600 valid-nlik:0.078782 test-err:0.018500 test-nlik:0.071862
[187] train-err:0.005760 train-nlik:0.043350 valid-err:0.020800 valid-nlik:0.078802 test-err:0.018600 test-nlik:0.071872
[188] train-err:0.005720 train-nlik:0.043307 valid-err:0.020700 valid-nlik:0.078807 test-err:0.018800 test-nlik:0.071880
[189] train-err:0.005680 train-nlik:0.043237 valid-err:0.020500 valid-nlik:0.078786 test-err:0.018800 test-nlik:0.071861
[190] train-err:0.005680 train-nlik:0.043159 valid-err:0.020600 valid-nlik:0.078756 test-err:0.018700 test-nlik:0.071833
[191] train-err:0.005600 train-nlik:0.043102 valid-err:0.020600 valid-nlik:0.078750 test-err:0.018500 test-nlik:0.071821
[192] train-err:0.005620 train-nlik:0.043030 valid-err:0.020800 valid-nlik:0.078703 test-err:0.018600 test-nlik:0.071793
[193] train-err:0.005620 train-nlik:0.042990 valid-err:0.020800 valid-nlik:0.078706 test-err:0.018600 test-nlik:0.071821
[194] train-err:0.005560 train-nlik:0.042974 valid-err:0.020800 valid-nlik:0.078777 test-err:0.018500 test-nlik:0.071872
[195] train-err:0.005500 train-nlik:0.042913 valid-err:0.020700 valid-nlik:0.078771 test-err:0.018500 test-nlik:0.071854
[196] train-err:0.005500 train-nlik:0.042892 valid-err:0.020900 valid-nlik:0.078816 test-err:0.018500 test-nlik:0.071849
[197] train-err:0.005500 train-nlik:0.042847 valid-err:0.020900 valid-nlik:0.078821 test-err:0.018400 test-nlik:0.071837
[198] train-err:0.005440 train-nlik:0.042796 valid-err:0.021000 valid-nlik:0.078787 test-err:0.018500 test-nlik:0.071826
[199] train-err:0.005400 train-nlik:0.042735 valid-err:0.020700 valid-nlik:0.078793 test-err:0.018600 test-nlik:0.071807
[200] train-err:0.005420 train-nlik:0.042700 valid-err:0.020600 valid-nlik:0.078763 test-err:0.018600 test-nlik:0.071780
[201] train-err:0.005380 train-nlik:0.042692 valid-err:0.020700 valid-nlik:0.078779 test-err:0.018600 test-nlik:0.071832
[202] train-err:0.005380 train-nlik:0.042644 valid-err:0.020500 valid-nlik:0.078783 test-err:0.018700 test-nlik:0.071787
[203] train-err:0.005360 train-nlik:0.042633 valid-err:0.020500 valid-nlik:0.078801 test-err:0.018800 test-nlik:0.071784
[204] train-err:0.005360 train-nlik:0.042603 valid-err:0.020400 valid-nlik:0.078819 test-err:0.018700 test-nlik:0.071749
[205] train-err:0.005380 train-nlik:0.042554 valid-err:0.020700 valid-nlik:0.078796 test-err:0.018900 test-nlik:0.071701
[206] train-err:0.005360 train-nlik:0.042519 valid-err:0.020500 valid-nlik:0.078788 test-err:0.018900 test-nlik:0.071636
[207] train-err:0.005340 train-nlik:0.042440 valid-err:0.020500 valid-nlik:0.078743 test-err:0.018800 test-nlik:0.071606
[208] train-err:0.005320 train-nlik:0.042381 valid-err:0.020200 valid-nlik:0.078738 test-err:0.018700 test-nlik:0.071586
